"treat_desc","dap","ratio","ratio_lag","dap_lag","seg_area","cum_ratio"
"Bednar",3,0.0345296140299678,0.0345296140299678,0,0.103588842089903,0.103588842089903
"Bednar",8,0.0789423836028482,0.0345296140299678,3,0.28367999408204,0.387268836171944
"Bednar",11,0.0856057351792422,0.0789423836028482,8,0.246822178173136,0.634091014345079
"Bednar",16,0.0757896670206325,0.0856057351792422,11,0.403488505499687,1.03757951984477
"Bednar",28,0.0971220246860831,0.0757896670206325,16,1.03747015024029,2.07504967008506
"Bednar",31,0.0919679193867473,0.0971220246860831,28,0.283634916109246,2.35868458619431
"Bednar",36,0.0716846705685685,0.0919679193867473,31,0.40913147488829,2.76781606108259
"Bednar",38,0.0957273167418683,0.0716846705685685,36,0.167411987310437,2.93522804839303
"Bednar",41,0.0970880329080923,0.0957273167418683,38,0.289223024474941,3.22445107286797
"Bednar",43,0.101465495259274,0.0970880329080923,41,0.198553528167366,3.42300460103534
"Bednar",46,0.104603870969823,0.101465495259274,43,0.309104049343645,3.73210865037898
"Bednar",48,0.12115699369607,0.104603870969823,46,0.225760864665893,3.95786951504488
"Bednar",53,0.113677304267414,0.12115699369607,48,0.58708574490871,4.54495525995359
"Bednar",58,0.134029342521598,0.113677304267414,53,0.61926661697253,5.16422187692612
"Bednar",65,0.167771791995276,0.134029342521598,58,1.05630397080906,6.22052584773517
"Bednar",68,0.180438220706277,0.167771791995276,65,0.522315019052329,6.7428408667875
"Bednar",71,0.16659774906992,0.180438220706277,68,0.520553954664295,7.2633948214518
"Bednar",73,0.121066645139784,0.16659774906992,71,0.287664394209704,7.5510592156615
"Bednar",76,0.220352427051293,0.121066645139784,73,0.512128608286615,8.06318782394812
"Bednar",78,0.203540662846227,0.220352427051293,76,0.42389308989752,8.48708091384564
"Bednar",81,0.0489611413153842,0.203540662846227,78,0.378752706242417,8.86583362008806
"Bednar",83,0.259293599538212,0.0489611413153842,81,0.308254740853596,9.17408836094165
"Bednar",85,0.264073739664292,0.259293599538212,83,0.523367339202504,9.69745570014416
"Bednar",86,0.153361801204719,0.264073739664292,85,0.208717770434505,9.90617347057866
"Bednar",88,0.258156555726772,0.153361801204719,86,0.411518356931491,10.3176918275102
"Bednar",91,0.254472261573386,0.258156555726772,88,0.768943225950237,11.0866350534604
"Bednar",93,0.0710709176253615,0.254472261573386,91,0.325543179198748,11.4121782326591
"Bednar",96,0.361071078502756,0.0710709176253615,93,0.648212994192177,12.0603912268513
"Bednar",98,0.36239530263454,0.361071078502756,96,0.723466381137296,12.7838576079886
"Bednar",103,0.422293135734994,0.36239530263454,98,1.96172109592383,14.7455787039124
"Bednar",105,0.243199561524579,0.422293135734994,103,0.665492697259573,15.411071401172
"Bednar",108,0.379300985279984,0.243199561524579,105,0.933750820206845,16.3448222213789
"Bednar",111,0.44031012410254,0.379300985279984,108,1.22941666407379,17.5742388854526
"Bednar",113,0.40478408254507,0.44031012410254,111,0.84509420664761,18.4193330921003
"Bednar",116,0.35932411857712,0.40478408254507,113,1.14616230168328,19.5654953937835
"Bednar",118,0.209278266495607,0.35932411857712,116,0.568602385072727,20.1340977788563
"Bednar",121,0.418825867607838,0.209278266495607,118,0.942156201155167,21.0762539800114
"Bednar",123,0.0063380807660229,0.418825867607838,121,0.42516394837386,21.5014179283853
"Bednar + Delve",3,0.0372918904300489,0.0372918904300489,0,0.111875671290147,0.111875671290147
