"zone_id","treat_desc","dap","ratio","ratio_lag","dap_lag","seg_area","cum_ratio"
"1","Bednar",3,0.0417194245991283,0.0417194245991283,0,0.125158273797385,0.125158273797385
"1","Bednar",8,0.0803456018442538,0.0417194245991283,3,0.305162566108455,0.43032083990584
"1","Bednar",11,0.0873532917962145,0.0803456018442538,8,0.251548340460703,0.681869180366543
"1","Bednar",16,0.0798133143515729,0.0873532917962145,11,0.417916515369469,1.09978569573601
"1","Bednar",28,0.0920911353470674,0.0798133143515729,16,1.03142669819184,2.13121239392785
"1","Bednar",31,0.0911960357160711,0.0920911353470674,28,0.274930756594708,2.40614315052256
"1","Bednar",36,0.0745033893122602,0.0911960357160711,31,0.414248562570828,2.82039171309339
"1","Bednar",38,0.0866820693238458,0.0745033893122602,36,0.161185458636106,2.98157717172949
"1","Bednar",41,0.0872887290680586,0.0866820693238458,38,0.260956197587857,3.24253336931735
"1","Bednar",43,0.0886273140560335,0.0872887290680586,41,0.175916043124092,3.41844941244144
"1","Bednar",46,0.0856600908645943,0.0886273140560335,43,0.261431107380942,3.67988051982239
"1","Bednar",48,0.104041539688609,0.0856600908645943,46,0.189701630553203,3.86958215037559
"1","Bednar",53,0.0901723883267659,0.104041539688609,48,0.485534820038436,4.35511697041402
"1","Bednar",58,0.098529013457583,0.0901723883267659,53,0.471753504460872,4.8268704748749
"1","Bednar",65,0.113219619242113,0.098529013457583,58,0.741120214448936,5.56799068932383
"1","Bednar",68,0.113064386728984,0.113219619242113,65,0.339426008956646,5.90741669828048
"1","Bednar",71,0.142774614825178,0.113064386728984,68,0.383758502331243,6.29117520061172
"1","Bednar",73,0.11957637298463,0.142774614825178,71,0.262350987809808,6.55352618842153
"1","Bednar",76,0.140268099285773,0.11957637298463,73,0.389766708405605,6.94329289682713
"1","Bednar",78,0.153700778955844,0.140268099285773,76,0.293968878241617,7.23726177506875
"1","Bednar",81,0.0495863688081058,0.153700778955844,78,0.304930721645925,7.54219249671468
"1","Bednar",83,0.178061715146499,0.0495863688081058,81,0.227648083954605,7.76984058066928
"1","Bednar",85,0.192837015906377,0.178061715146499,83,0.370898731052876,8.14073931172216
"1","Bednar",86,0.117686557903219,0.192837015906377,85,0.155261786904798,8.29600109862695
"1","Bednar",88,0.219536314704525,0.117686557903219,86,0.337222872607744,8.6332239712347
"1","Bednar",91,0.205222266601093,0.219536314704525,88,0.637137871958427,9.27036184319312
"1","Bednar",93,0.0747026612620745,0.205222266601093,91,0.279924927863167,9.55028677105629
"1","Bednar",96,0.309942154964404,0.0747026612620745,93,0.576967224339718,10.127253995396
"1","Bednar",98,0.346051718316861,0.309942154964404,96,0.655993873281265,10.7832478686773
"1","Bednar",103,0.395681145920682,0.346051718316861,98,1.85433216059386,12.6375800292711
"1","Bednar",105,0.141455308381301,0.395681145920682,103,0.537136454301984,13.1747164835731
"1","Bednar",108,0.352145024644795,0.141455308381301,105,0.740400499539144,13.9151169831123
"1","Bednar",111,0.436974391118804,0.352145024644795,108,1.1836791236454,15.0987961067577
"1","Bednar",113,0.406825286238941,0.436974391118804,111,0.843799677357745,15.9425957841154
"1","Bednar",116,0.363534977186972,0.406825286238941,113,1.15554039513887,17.0981361792543
"1","Bednar",118,0.19238924090542,0.363534977186972,116,0.555924218092392,17.6540603973467
"1","Bednar",121,0.426938524441933,0.19238924090542,118,0.928991648021029,18.5830520453677
"1","Bednar",123,0.00939121241194766,0.426938524441933,121,0.43632973685388,19.0193817822216
"1","Bednar + Delve",3,0.0309249571175314,0.0309249571175314,0,0.0927748713525944,0.0927748713525944
"1","Bednar + Delve",8,0.0748105412349105,0.0309249571175314,3,0.264338745881105,0.357113617233699
"1","Bednar + Delve",11,0.0831143924966455,0.0748105412349105,8,0.236887400597334,0.594001017831033
"1","Bednar + Delve",16,0.0758754389360547,0.0831143924966455,11,0.39747457858175,0.991475596412784
"1","Bednar + Delve",28,0.0935257207602262,0.0758754389360547,16,1.01640695817769,2.00788255459047
"1","Bednar + Delve",31,0.0898057276383042,0.0935257207602262,28,0.274997172597796,2.28287972718827
"1","Bednar + Delve",36,0.06509905802086,0.0898057276383042,31,0.38726196414791,2.67014169133618
"1","Bednar + Delve",38,0.0860201474279165,0.06509905802086,36,0.151119205448776,2.82126089678495
"1","Bednar + Delve",41,0.0874553121626377,0.0860201474279165,38,0.260213189385831,3.08147408617078
"1","Bednar + Delve",43,0.0896447287872434,0.0874553121626377,41,0.177100040949881,3.25857412712066
"1","Bednar + Delve",46,0.0875972906127572,0.0896447287872434,43,0.265863029100001,3.52443715622067
"1","Bednar + Delve",48,0.10581702683121,0.0875972906127572,46,0.193414317443967,3.71785147366463
"1","Bednar + Delve",53,0.0940913017839193,0.10581702683121,48,0.499770821537822,4.21762229520245
"1","Bednar + Delve",58,0.104666876979172,0.0940913017839193,53,0.496895446907729,4.71451774211018
"1","Bednar + Delve",65,0.120987432450056,0.104666876979172,58,0.789790083002299,5.50430782511248
"1","Bednar + Delve",68,0.12352316044271,0.120987432450056,65,0.366765889339149,5.87107371445163
"1","Bednar + Delve",71,0.150095823407173,0.12352316044271,68,0.410428475774825,6.28150219022646
"1","Bednar + Delve",73,0.140579777956009,0.150095823407173,71,0.290675601363182,6.57217779158964
"1","Bednar + Delve",76,0.152341214567423,0.140579777956009,73,0.439381488785148,7.01155928037479
"1","Bednar + Delve",78,0.164266214519739,0.152341214567423,76,0.316607429087162,7.32816670946195
"1","Bednar + Delve",81,0.0496403595432639,0.164266214519739,78,0.320859861094505,7.64902657055645
"1","Bednar + Delve",83,0.184981314837933,0.0496403595432639,81,0.234621674381197,7.88364824493765
"1","Bednar + Delve",85,0.200804735347629,0.184981314837933,83,0.385786050185561,8.26943429512321
"1","Bednar + Delve",86,0.126554013602436,0.200804735347629,85,0.163679374475032,8.43311366959824
"1","Bednar + Delve",88,0.199705683067441,0.126554013602436,86,0.326259696669877,8.75937336626812
"1","Bednar + Delve",91,0.204924846440554,0.199705683067441,88,0.606945794261992,9.36631916053011
"1","Bednar + Delve",93,0.0826456217095256,0.204924846440554,91,0.287570468150079,9.65388962868019
"1","Bednar + Delve",96,0.294841299578547,0.0826456217095256,93,0.56623038193211,10.2201200106123
"1","Bednar + Delve",98,0.330796507745981,0.294841299578547,96,0.625637807324529,10.8457578179368
"1","Bednar + Delve",103,0.369055691361427,0.330796507745981,98,1.74963049776852,12.5953883157053
"1","Bednar + Delve",105,0.149123341776431,0.369055691361427,103,0.518179033137858,13.1135673488432
"1","Bednar + Delve",108,0.361468905210495,0.149123341776431,105,0.765888370480388,13.8794557193236
"1","Bednar + Delve",111,0.408524642139673,0.361468905210495,108,1.15499032102525,15.0344460403488
"1","Bednar + Delve",113,0.385181197524071,0.408524642139673,111,0.793705839663744,15.8281518800126
"1","Bednar + Delve",116,0.251880289614201,0.385181197524071,113,0.955592230707407,16.78374411072
"1","Bednar + Delve",118,0.197496395558119,0.251880289614201,116,0.449376685172319,17.2331207958923
"1","Bednar + Delve",121,0.398924873024225,0.197496395558119,118,0.894631902873516,18.1277526987658
"1","Bednar + Delve",123,0.00974464484024793,0.398924873024225,121,0.408669517864473,18.5364222166303
"1","Control",3,0.0263932944956021,0.0263932944956021,0,0.0791798834868062,0.0791798834868062
"1","Control",8,0.0784599379851268,0.0263932944956021,3,0.262133081201822,0.341312964688628
"1","Control",11,0.0881862379610538,0.0784599379851268,8,0.249969263919271,0.591282228607899
"1","Control",16,0.0789387260492031,0.0881862379610538,11,0.417812410025643,1.00909463863354
"1","Control",28,0.0992285716705597,0.0789387260492031,16,1.06900378631858,2.07809842495212
"1","Control",31,0.0904408648896676,0.0992285716705597,28,0.284504154840341,2.36260257979246
"1","Control",36,0.070505378767848,0.0904408648896676,31,0.402365609143789,2.76496818893625
"1","Control",38,0.0844095213195452,0.070505378767848,36,0.154914900087393,2.91988308902364
