"dap","treat_desc","ratio"
88,"Rip + Delve",0.279967857347695
91,"Rip + Delve",0.255578276888953
93,"Rip + Delve",0.0682021887413449
96,"Rip + Delve",0.358262576021169
98,"Rip + Delve",0.350593085468042
103,"Rip + Delve",0.415058103237769
105,"Rip + Delve",0.247457468067738
108,"Rip + Delve",0.379638092826075
111,"Rip + Delve",0.431312168619025
113,"Rip + Delve",0.397301890324277
116,"Rip + Delve",0.343648081949908
118,"Rip + Delve",0.200928614025107
121,"Rip + Delve",0.411547616860712
123,"Rip + Delve",0.00600843319604961
-14,"Rip + Spade",0.0634675539260459
-4,"Rip + Spade",0.0782518942661129
3,"Rip + Spade",0.0375320577167058
8,"Rip + Spade",0.0734804737176134
11,"Rip + Spade",0.0838269595528992
16,"Rip + Spade",0.0732919998431989
28,"Rip + Spade",0.0977596859906761
31,"Rip + Spade",0.0928086004626583
36,"Rip + Spade",0.0631943586426721
38,"Rip + Spade",0.0956059574661121
41,"Rip + Spade",0.0989502099967898
43,"Rip + Spade",0.104299472041533
46,"Rip + Spade",0.108546171459793
48,"Rip + Spade",0.122939377078708
53,"Rip + Spade",0.116550252051421
58,"Rip + Spade",0.138915483660541
65,"Rip + Spade",0.169486667943393
68,"Rip + Spade",0.181418909503261
71,"Rip + Spade",0.167404221397051
73,"Rip + Spade",0.142510269379392
76,"Rip + Spade",0.223927797810852
78,"Rip + Spade",0.209001191135304
81,"Rip + Spade",0.048640775586098
83,"Rip + Spade",0.265741584796301
85,"Rip + Spade",0.271220902287065
86,"Rip + Spade",0.182682952760531
88,"Rip + Spade",0.230521014878448
91,"Rip + Spade",0.261392901690913
93,"Rip + Spade",0.077747371572424
96,"Rip + Spade",0.372273357961099
98,"Rip + Spade",0.392047045656213
103,"Rip + Spade",0.430162664730224
105,"Rip + Spade",0.210893246279636
108,"Rip + Spade",0.383393115141022
111,"Rip + Spade",0.441463119966883
113,"Rip + Spade",0.407769096989027
116,"Rip + Spade",0.358990869961434
118,"Rip + Spade",0.286142796138083
121,"Rip + Spade",0.417478329838721
123,"Rip + Spade",0.00798217008139571
-14,"Spade + Delve",0.0636776168279502
-4,"Spade + Delve",0.0792304309046998
3,"Spade + Delve",0.0325581325511718
8,"Spade + Delve",0.0767806135574166
11,"Spade + Delve",0.084648109516319
16,"Spade + Delve",0.0741430390550166
28,"Spade + Delve",0.0963034562614499
31,"Spade + Delve",0.0894400749583634
36,"Spade + Delve",0.0715335934593969
38,"Spade + Delve",0.0935037501612488
41,"Spade + Delve",0.0949203000384934
43,"Spade + Delve",0.0993345319312446
46,"Spade + Delve",0.102244966735645
48,"Spade + Delve",0.120320619764377
53,"Spade + Delve",0.112571996997814
58,"Spade + Delve",0.132976108911086
65,"Spade + Delve",0.164758942808424
68,"Spade + Delve",0.175284089543382
71,"Spade + Delve",0.167777780793151
73,"Spade + Delve",0.130585550927386
76,"Spade + Delve",0.217774329927503
78,"Spade + Delve",0.20298133218775
81,"Spade + Delve",0.049388332862635
83,"Spade + Delve",0.257482519259258
85,"Spade + Delve",0.264634246485574
86,"Spade + Delve",0.157124786200572
88,"Spade + Delve",0.237979982945384
91,"Spade + Delve",0.255261787163968
93,"Spade + Delve",0.0741843378969601
96,"Spade + Delve",0.361122110303567
98,"Spade + Delve",0.369595879194688
103,"Spade + Delve",0.419390134787073
105,"Spade + Delve",0.225882013476625
108,"Spade + Delve",0.382689430032458
111,"Spade + Delve",0.43376499304966
113,"Spade + Delve",0.398964331587967
116,"Spade + Delve",0.346117729678446
118,"Spade + Delve",0.2155191194038
121,"Spade + Delve",0.407334083926921
123,"Spade + Delve",0.00777151141873943
