"dap","treat_desc","zone_id","ratio"
36,"Rip + Delve","1",0.0754815464082
38,"Rip + Delve","1",0.088688581936307
41,"Rip + Delve","1",0.0898545210014333
43,"Rip + Delve","1",0.0909165545151784
46,"Rip + Delve","1",0.0898621996025463
48,"Rip + Delve","1",0.1096730613774
53,"Rip + Delve","1",0.0979600543012986
58,"Rip + Delve","1",0.108464887590854
65,"Rip + Delve","1",0.130659791385079
68,"Rip + Delve","1",0.133803946876919
71,"Rip + Delve","1",0.147077662767945
73,"Rip + Delve","1",0.121039765794854
76,"Rip + Delve","1",0.166739972164998
78,"Rip + Delve","1",0.170440228922027
81,"Rip + Delve","1",0.0504984265745996
83,"Rip + Delve","1",0.205666272849827
85,"Rip + Delve","1",0.217444407743412
86,"Rip + Delve","1",0.127574675030761
88,"Rip + Delve","1",0.243410315323662
91,"Rip + Delve","1",0.216178907797887
93,"Rip + Delve","1",0.0747406625158184
96,"Rip + Delve","1",0.317691334492558
98,"Rip + Delve","1",0.331401979694
103,"Rip + Delve","1",0.388572133831925
105,"Rip + Delve","1",0.160110384471469
108,"Rip + Delve","1",0.352210131320325
111,"Rip + Delve","1",0.419918185734487
113,"Rip + Delve","1",0.392041596082541
116,"Rip + Delve","1",0.331743523314759
118,"Rip + Delve","1",0.173658076387185
121,"Rip + Delve","1",0.408181676170328
123,"Rip + Delve","1",0.00820443180522748
-14,"Rip + Spade","1",0.0624589655419876
-4,"Rip + Spade","1",0.0785620991012146
3,"Rip + Spade","1",0.033759689400101
8,"Rip + Spade","1",0.0719984533457921
11,"Rip + Spade","1",0.081934388855408
16,"Rip + Spade","1",0.0751552517557966
28,"Rip + Spade","1",0.0967752011171703
31,"Rip + Spade","1",0.0938954787521527
36,"Rip + Spade","1",0.062770568605127
38,"Rip + Spade","1",0.088258125658693
41,"Rip + Spade","1",0.0902817626965457
43,"Rip + Spade","1",0.0961235789903279
46,"Rip + Spade","1",0.0950099705108281
48,"Rip + Spade","1",0.109932458349343
53,"Rip + Spade","1",0.10077833718267
58,"Rip + Spade","1",0.113118864338973
65,"Rip + Spade","1",0.127289956242874
68,"Rip + Spade","1",0.133796546736668
71,"Rip + Spade","1",0.154377835577932
73,"Rip + Spade","1",0.14245651867883
76,"Rip + Spade","1",0.169568381689746
78,"Rip + Spade","1",0.178081338261736
81,"Rip + Spade","1",0.0488091784304586
83,"Rip + Spade","1",0.214029079367375
85,"Rip + Spade","1",0.229185388006013
86,"Rip + Spade","1",0.152871420928117
88,"Rip + Spade","1",0.204165440695039
91,"Rip + Spade","1",0.233510140201141
93,"Rip + Spade","1",0.0778459274563296
96,"Rip + Spade","1",0.338871910654265
98,"Rip + Spade","1",0.362000166342176
103,"Rip + Spade","1",0.407508316738852
105,"Rip + Spade","1",0.180670676303321
108,"Rip + Spade","1",0.35346578112964
111,"Rip + Spade","1",0.432100923924611
113,"Rip + Spade","1",0.401107879548237
116,"Rip + Spade","1",0.260133456053405
118,"Rip + Spade","1",0.208705179650208
121,"Rip + Spade","1",0.411580351919963
123,"Rip + Spade","1",0.00947932333781801
-14,"Spade + Delve","1",0.064137693737512
-4,"Spade + Delve","1",0.0801910045354263
3,"Spade + Delve","1",0.0430639046851708
8,"Spade + Delve","1",0.0763922068087951
11,"Spade + Delve","1",0.0847876216082469
16,"Spade + Delve","1",0.0778767181479413
28,"Spade + Delve","1",0.0919310418160065
31,"Spade + Delve","1",0.0900827795267105
36,"Spade + Delve","1",0.0741955233008965
38,"Spade + Delve","1",0.083154011355794
41,"Spade + Delve","1",0.0835044450410034
43,"Spade + Delve","1",0.085045390802881
46,"Spade + Delve","1",0.081410407372143
48,"Spade + Delve","1",0.0998037143245987
53,"Spade + Delve","1",0.0834300595781078
58,"Spade + Delve","1",0.0896624572899031
65,"Spade + Delve","1",0.0967754166087379
68,"Spade + Delve","1",0.0937764401669088
71,"Spade + Delve","1",0.136596337932607
73,"Spade + Delve","1",0.119732507221077
76,"Spade + Delve","1",0.11315021696298
78,"Spade + Delve","1",0.135033499611461
81,"Spade + Delve","1",0.0496199283262958
83,"Spade + Delve","1",0.148565775350384
85,"Spade + Delve","1",0.1649002769719
86,"Spade + Delve","1",0.102482303815043
88,"Spade + Delve","1",0.19153624870207
91,"Spade + Delve","1",0.185272071024646
93,"Spade + Delve","1",0.0737274870600389
96,"Spade + Delve","1",0.276811376214027
98,"Spade + Delve","1",0.316565702790799
103,"Spade + Delve","1",0.363851632113042
105,"Spade + Delve","1",0.120248365985311
108,"Spade + Delve","1",0.350937689776006
111,"Spade + Delve","1",0.404499036462411
113,"Spade + Delve","1",0.379174458591834
116,"Spade + Delve","1",0.332154278521952
118,"Spade + Delve","1",0.196410167152467
121,"Spade + Delve","1",0.389891353638276
123,"Spade + Delve","1",0.00896403247126095
-14,"Bednar","2",0.0651314284424393
-4,"Bednar","2",0.083961621839173
3,"Bednar","2",0.00446216430074336
8,"Bednar","2",0.0805478246540439
11,"Bednar","2",0.0848778873986127
16,"Bednar","2",0.074448072636614
28,"Bednar","2",0.10417602956295
31,"Bednar","2",0.0948202686042202
36,"Bednar","2",0.0721432349967713
38,"Bednar","2",0.112038742826909
41,"Bednar","2",0.116080410322364
43,"Bednar","2",0.123143397879844
46,"Bednar","2",0.136220796375859
48,"Bednar","2",0.152588634314586
53,"Bednar","2",0.154392730064538
58,"Bednar","2",0.198061149035181
65,"Bednar","2",0.264075729007624
68,"Bednar","2",0.299526104817585
71,"Bednar","2",0.203943887535407
73,"Bednar","2",0.165633563180359
76,"Bednar","2",0.361792496272496
78,"Bednar","2",0.290757431667678
81,"Bednar","2",0.0484658978423294
83,"Bednar","2",0.399837088828184
85,"Bednar","2",0.396198360287413
86,"Bednar","2",0.227592906781605
88,"Bednar","2",0.357936118330274
91,"Bednar","2",0.331310866438613
93,"Bednar","2",0.0788838539500626
96,"Bednar","2",0.450402178326432
98,"Bednar","2",0.444699029533231
103,"Bednar","2",0.46732821087448
105,"Bednar","2",0.222015591908474
108,"Bednar","2",0.38345741313331
111,"Bednar","2",0.449345309515389
113,"Bednar","2",0.408467961817372
116,"Bednar","2",0.229486580405916
118,"Bednar","2",0.150674782541333
121,"Bednar","2",0.403813521472775
123,"Bednar","2",0.00808349057879983
-14,"Bednar + Delve","2",0.0635857535121234
-4,"Bednar + Delve","2",0.0799717812434487
3,"Bednar + Delve","2",0.00161556064583989
8,"Bednar + Delve","2",0.0756353982116865
11,"Bednar + Delve","2",0.083535749303258
16,"Bednar + Delve","2",0.071619373138832
28,"Bednar + Delve","2",0.102347805286231
31,"Bednar + Delve","2",0.0948611094575861
36,"Bednar + Delve","2",0.069031755561414
38,"Bednar + Delve","2",0.111395253759363
41,"Bednar + Delve","2",0.116243007552365
43,"Bednar + Delve","2",0.125358295181523
46,"Bednar + Delve","2",0.141737670678159
48,"Bednar + Delve","2",0.157677398751611
53,"Bednar + Delve","2",0.161914726962214
58,"Bednar + Delve","2",0.211343364547128
65,"Bednar + Delve","2",0.285693617618602
68,"Bednar + Delve","2",0.322162561442541
71,"Bednar + Delve","2",0.212159095251042
73,"Bednar + Delve","2",0.195036384722461
76,"Bednar + Delve","2",0.385196935871373
78,"Bednar + Delve","2",0.302569826659949
81,"Bednar + Delve","2",0.0501083504894505
83,"Bednar + Delve","2",0.41529205052749
85,"Bednar + Delve","2",0.409420481842497
86,"Bednar + Delve","2",0.26347119587919
88,"Bednar + Delve","2",0.175631002563497
91,"Bednar + Delve","2",0.337550336252088
93,"Bednar + Delve","2",0.0871078477281591
96,"Bednar + Delve","2",0.45473257938157
98,"Bednar + Delve","2",0.45259205284326
103,"Bednar + Delve","2",0.465130723688913
105,"Bednar + Delve","2",0.164252768392148
108,"Bednar + Delve","2",0.331302985548973
111,"Bednar + Delve","2",0.437448048073313
113,"Bednar + Delve","2",0.403992198731588
116,"Bednar + Delve","2",0.242482031493083
118,"Bednar + Delve","2",0.189908234321553
121,"Bednar + Delve","2",0.389928815157517
123,"Bednar + Delve","2",0.0123859458481488
-14,"Control","2",0.0666207289165359
-4,"Control","2",0.0894801418407489
3,"Control","2",0.00406807009180045
8,"Control","2",0.0819990449285103
11,"Control","2",0.0886191474431652
16,"Control","2",0.0779107037489697
28,"Control","2",0.106122144829419
31,"Control","2",0.105830084721921
36,"Control","2",0.0672514394430791
38,"Control","2",0.128393932293027
41,"Control","2",0.135797286816573
43,"Control","2",0.143581342015226
46,"Control","2",0.15899210536884
48,"Control","2",0.174076863769758
53,"Control","2",0.179868679177963
58,"Control","2",0.225874157527746
65,"Control","2",0.29203714278795
68,"Control","2",0.325052935440662
71,"Control","2",0.209462115320109
73,"Control","2",0.192566941602755
76,"Control","2",0.379694989172079
78,"Control","2",0.293942423190101
81,"Control","2",0.0497526517611439
83,"Control","2",0.404824241743249
85,"Control","2",0.397611672090272
86,"Control","2",0.24218075482522
88,"Control","2",0.202160104856653
91,"Control","2",0.327131105681597
93,"Control","2",0.083311420881142
96,"Control","2",0.444423405800836
98,"Control","2",0.443799583588616
103,"Control","2",0.45373869952509
105,"Control","2",0.195232054944766
108,"Control","2",0.370713437007645
111,"Control","2",0.434904993085538
113,"Control","2",0.397334810535787
116,"Control","2",0.229206940380193
118,"Control","2",0.188836340934543
121,"Control","2",0.387818100088734
123,"Control","2",0.0169636434796503
-14,"Rip","2",0.0697692558169365
-4,"Rip","2",0.0855637453496456
3,"Rip","2",0.00360687084321398
8,"Rip","2",0.0795553773641586
11,"Rip","2",0.0892487168312073
16,"Rip","2",0.0784984193742275
28,"Rip","2",0.0995926987379789
31,"Rip","2",0.0944846794009209
36,"Rip","2",0.0656536016613245
38,"Rip","2",0.111123947426677
41,"Rip","2",0.115827310830355
43,"Rip","2",0.124959632754326
46,"Rip","2",0.136921852827072
48,"Rip","2",0.153145965188742
53,"Rip","2",0.160127878189087
58,"Rip","2",0.19918317347765
65,"Rip","2",0.2682014554739
68,"Rip","2",0.30363430082798
71,"Rip","2",0.202836878597736
73,"Rip","2",0.197265196591616
76,"Rip","2",0.366582669317722
78,"Rip","2",0.300967909395695
81,"Rip","2",0.0464857509359717
83,"Rip","2",0.405812032520771
85,"Rip","2",0.402450069785118
86,"Rip","2",0.279802829027176
88,"Rip","2",0.153675582259893
91,"Rip","2",0.335815005004406
93,"Rip","2",0.0844040680676699
96,"Rip","2",0.456565268337727
98,"Rip","2",0.459232002496719
103,"Rip","2",0.468045748770237
105,"Rip","2",0.164347760379314
108,"Rip","2",0.33901459723711
111,"Rip","2",0.450327023863792
113,"Rip","2",0.414059765636921
116,"Rip","2",0.263221815228462
118,"Rip","2",0.204694081097841
121,"Rip","2",0.415553241968155
123,"Rip","2",0.0126362168230116
-14,"Rip + Delve","2",0.0612999916904502
-4,"Rip + Delve","2",0.0767484036170774
3,"Rip + Delve","2",0.00322656488889253
8,"Rip + Delve","2",0.0779515771816174
11,"Rip + Delve","2",0.0838365594132079
16,"Rip + Delve","2",0.0737917408761051
28,"Rip + Delve","2",0.102673590183258
31,"Rip + Delve","2",0.0935675878491667
36,"Rip + Delve","2",0.0664308492301239
38,"Rip + Delve","2",0.108117952528927
41,"Rip + Delve","2",0.111091328163942
43,"Rip + Delve","2",0.120920155404343
46,"Rip + Delve","2",0.132254460619556
48,"Rip + Delve","2",0.150976094934675
