"zone_id","treat_desc","dap","ratio","ratio_lag","dap_lag","seg_area","cum_ratio"
"1","Bednar",1,0.096560025732128,0.096560025732128,0,0.096560025732128,0.096560025732128
"1","Bednar",6,0.0868324912324244,0.096560025732128,1,0.458481292411381,0.555041318143509
"1","Bednar",16,0.0785442137596559,0.0868324912324244,6,0.826883524960401,1.38192484310391
"1","Bednar",23,0.0898075415467729,0.0785442137596559,16,0.589231143572501,1.97115598667641
"1","Bednar",26,0.0923424454824049,0.0898075415467729,23,0.273224980543767,2.24438096722018
"1","Bednar",31,0.100178814116789,0.0923424454824049,26,0.481303148997986,2.72568411621816
"1","Bednar",43,0.145788117543775,0.100178814116789,31,1.47580158996339,4.20148570618155
"1","Bednar",61,0.275494205525943,0.145788117543775,43,3.79154090762747,7.99302661380902
"1","Bednar",63,0.278216144929127,0.275494205525943,61,0.55371035045507,8.54673696426409
"1","Bednar",71,0.355500402924966,0.278216144929127,63,2.53486619141637,11.0816031556805
"1","Bednar",76,0.387483855534573,0.355500402924966,71,1.85746064614885,12.9390638018293
"1","Bednar",81,0.406248472113999,0.387483855534573,76,1.98433081912143,14.9233946209507
"1","Bednar",91,0.447714389708577,0.406248472113999,81,4.26981430911288,19.1932089300636
"1","Bednar",96,0.434260566867128,0.447714389708577,91,2.20493739143926,21.3981463215029
"1","Bednar",103,0.475011291187637,0.434260566867128,96,3.18245150319168,24.5805978246946
"1","Bednar",111,0.443778009803928,0.475011291187637,103,3.67515720396626,28.2557550286608
"1","Bednar",116,0.407556034107597,0.443778009803928,111,2.12833510977881,30.3840901384396
"1","Bednar",123,0.376203576885924,0.407556034107597,116,2.74315863847733,33.127248776917
"1","Control",1,0.0908589921891689,0.0908589921891689,0,0.0908589921891689,0.0908589921891689
"1","Control",6,0.0907354621438805,0.0908589921891689,1,0.453986135832624,0.544845128021793
"1","Control",16,0.0817178009641827,0.0907354621438805,6,0.862266315540316,1.40711144356211
"1","Control",23,0.0884655934134755,0.0817178009641827,16,0.595641880321803,2.00275332388391
"1","Control",26,0.0914707799877869,0.0884655934134755,23,0.269904560101894,2.27265788398581
"1","Control",31,0.0933155053457536,0.0914707799877869,26,0.461965713333851,2.73462359731966
"1","Control",43,0.111003172780396,0.0933155053457536,31,1.2259120687569,3.96053566607655
"1","Control",61,0.15360889211297,0.111003172780396,43,2.38150858404029,6.34204425011685
"1","Control",63,0.179305407090471,0.15360889211297,61,0.332914299203442,6.67495854932029
"1","Control",71,0.187278311050266,0.179305407090471,63,1.46633487256295,8.14129342188324
"1","Control",76,0.207763551982171,0.187278311050266,71,0.987604657581093,9.12889807946433
