"treat_desc","dap","ratio","ratio_lag","dap_lag","seg_area","cum_ratio"
"Active Inclusion",4,0.0434430713820107,0.0434430713820107,0,0.173772285528043,0.173772285528043
"Active Inclusion",44,0.339413835283588,0.0434430713820107,4,7.65713813331197,7.83091041884002
"Active Inclusion",54,0.422886837419926,0.339413835283588,44,3.81150336351757,11.6424137823576
"Active Inclusion",64,0.492804401791563,0.422886837419926,54,4.57845619605745,16.220869978415
"Active Inclusion",69,0.519843722675361,0.492804401791563,64,2.53162031116731,18.7524902895823
"Active Inclusion",71,0.531831923507008,0.519843722675361,69,1.05167564618237,19.8041659357647
"Active Inclusion",91,0.594056246327419,0.531831923507008,71,11.2588816983443,31.063047634109
"Active Inclusion",94,0.177108820856494,0.594056246327419,91,1.15674760077587,32.2197952348848
"Active Inclusion",99,0.183335331871229,0.177108820856494,94,0.901110381819308,33.1209056167042
"Active Inclusion",104,0.320314137959013,0.183335331871229,99,1.2591236745756,34.3800292912798
"Active Inclusion",109,0.381238336948787,0.320314137959013,104,1.7538811872695,36.1339104785493
"Active Inclusion",111,0.494971903807977,0.381238336948787,109,0.876210240756764,37.010120719306
"Active Inclusion",114,0.488274406276497,0.494971903807977,111,1.47486946512671,38.4849901844327
"Active Inclusion",119,0.501358841856321,0.488274406276497,114,2.47408312033205,40.9590733047648
"Active Inclusion",124,0.511675720340481,0.501358841856321,119,2.532586405492,43.4916597102568
"Active Inclusion",129,0.381356257287895,0.511675720340481,124,2.23257994407094,45.7242396543277
"Control",4,0.0431391677598734,0.0431391677598734,0,0.172556671039494,0.172556671039494
"Control",44,0.386477487314726,0.0431391677598734,4,8.592333101492,8.76488977253149
"Control",54,0.466461275654714,0.386477487314726,44,4.2646938148472,13.0295835873787
"Control",64,0.537079509041736,0.466461275654714,54,5.01770392348225,18.0472875108609
"Control",69,0.559977011044244,0.537079509041736,64,2.74264130021495,20.7899288110759
"Control",71,0.56701696401345,0.559977011044244,69,1.12699397505769,21.9169227861336
"Control",91,0.605088430326342,0.56701696401345,71,11.7210539433979,33.6379767295315
"Control",94,0.173869092953234,0.605088430326342,91,1.16843628491936,34.8064130144509
"Control",99,0.18985295727633,0.173869092953234,94,0.909305125573911,35.7157181400248
"Control",104,0.332970414544649,0.18985295727633,99,1.30705842955245,37.0227765695772
"Control",109,0.362116865183852,0.332970414544649,104,1.73771819932125,38.7604947688985
"Control",111,0.461543170078365,0.362116865183852,109,0.823660035262217,39.5841548041607
"Control",114,0.481877643992935,0.461543170078365,111,1.41513122110695,40.9992860252677
"Control",119,0.494473510822236,0.481877643992935,114,2.44087788703793,43.4401639123056
"Control",124,0.532781564887019,0.494473510822236,119,2.56813768927314,46.0083016015787
"Control",129,0.371763634724893,0.532781564887019,124,2.26136299902978,48.2696646006085
"Deep Rip",4,0.0432357641402632,0.0432357641402632,0,0.172943056561053,0.172943056561053
"Deep Rip",44,0.363030783115671,0.0432357641402632,4,8.12533094511869,8.29827400167974
"Deep Rip",54,0.441357955479851,0.363030783115671,44,4.02194369297761,12.3202176946574
"Deep Rip",64,0.511135323976095,0.441357955479851,54,4.76246639727973,17.0826840919371
"Deep Rip",69,0.537103487608524,0.511135323976095,64,2.62059702896155,19.7032811208986
"Deep Rip",71,0.547568688527323,0.537103487608524,69,1.08467217613585,20.7879532970345
"Deep Rip",91,0.599914939930806,0.547568688527323,71,11.4748362845813,32.2627895816158
"Deep Rip",94,0.175179340787089,0.599914939930806,91,1.16264142107684,33.4254310026926
"Deep Rip",99,0.188399675248477,0.175179340787089,94,0.908947540088915,34.3343785427815
"Deep Rip",104,0.327850662386761,0.188399675248477,99,1.2906258440881,35.6250043868696
"Deep Rip",109,0.378704785118596,0.327850662386761,104,1.76638861876339,37.391393005633
"Deep Rip",111,0.473943892221611,0.378704785118596,109,0.852648677340207,38.2440416829732
"Deep Rip",114,0.485595473876366,0.473943892221611,111,1.43930904914697,39.6833507321202
"Deep Rip",119,0.495089154332303,0.485595473876366,114,2.45171157052167,42.1350623026419
"Deep Rip",124,0.520558616146445,0.495089154332303,119,2.53911942619687,44.6741817288387
"Deep Rip",129,0.370861615555791,0.520558616146445,124,2.22855057925559,46.9027323080943
"Kuhn Performer",4,0.0438157052878874,0.0438157052878874,0,0.17526282115155,0.17526282115155
"Kuhn Performer",44,0.344809545738151,0.0438157052878874,4,7.77250502052077,7.94776784167232
"Kuhn Performer",54,0.41784714880478,0.344809545738151,44,3.81328347271465,11.761051314387
"Kuhn Performer",64,0.484325471628143,0.41784714880478,54,4.51086310216461,16.2719144165516
"Kuhn Performer",69,0.513814962556563,0.484325471628143,64,2.49535108546177,18.7672655020134
"Kuhn Performer",71,0.526616016425282,0.513814962556563,69,1.04043097898185,19.8076964809952
"Kuhn Performer",91,0.593934370667101,0.526616016425282,71,11.2055038709238,31.013200351919
"Kuhn Performer",94,0.170383083838296,0.593934370667101,91,1.1464761817581,32.1596765336771
"Kuhn Performer",99,0.190384062981031,0.170383083838296,94,0.901917867048318,33.0615944007255
"Kuhn Performer",104,0.340394626360342,0.190384062981031,99,1.32694672335343,34.3885411240789
"Kuhn Performer",109,0.335473416260926,0.340394626360342,104,1.68967010655317,36.078211230632
"Kuhn Performer",111,0.450953246240156,0.335473416260926,109,0.786426662501082,36.8646378931331
"Kuhn Performer",114,0.486170029209321,0.450953246240156,111,1.40568491317422,38.2703228063073
"Kuhn Performer",119,0.49994317824582,0.486170029209321,114,2.46528301863785,40.7356058249452
"Kuhn Performer",124,0.546348248260567,0.49994317824582,119,2.61572856626597,43.3513343912112
"Kuhn Performer",129,0.377579275024943,0.546348248260567,124,2.30981880821377,45.6611531994249
"Passive Inclusion",4,0.0429483302538727,0.0429483302538727,0,0.171793321015491,0.171793321015491
"Passive Inclusion",44,0.332624463733368,0.0429483302538727,4,7.51145587974481,7.6832492007603
"Passive Inclusion",54,0.413660614298142,0.332624463733368,44,3.73142539015755,11.4146745909178
"Passive Inclusion",64,0.485782814127892,0.413660614298142,54,4.49721714213017,15.911891733048
"Passive Inclusion",69,0.51700403725314,0.485782814127892,64,2.50696712845258,18.4188588615006
"Passive Inclusion",71,0.530655680629618,0.51700403725314,69,1.04765971788276,19.4665185793834
"Passive Inclusion",91,0.596623170783875,0.530655680629618,71,11.2727885141349,30.7393070935183
"Passive Inclusion",94,0.169896624490509,0.596623170783875,91,1.14977969291158,31.8890867864299
"Passive Inclusion",99,0.19007472449818,0.169896624490509,94,0.899928372471723,32.7890151589016
"Passive Inclusion",104,0.348563042567237,0.19007472449818,99,1.34659441766354,34.1356095765651
"Passive Inclusion",109,0.314255381144201,0.348563042567237,104,1.65704605927859,35.7926556358437
"Passive Inclusion",111,0.43121606971349,0.314255381144201,109,0.745471450857691,36.5381270867014
"Passive Inclusion",114,0.48599414028282,0.43121606971349,111,1.37581531499446,37.9139424016959
"Passive Inclusion",119,0.501662663332116,0.48599414028282,114,2.46914200903734,40.3830844107332
"Passive Inclusion",124,0.550419830459837,0.501662663332116,119,2.63020623447988,43.0132906452131
"Passive Inclusion",129,0.377824653404558,0.550419830459837,124,2.32061120966099,45.3339018548741
