"treat_desc","dap","ratio","ratio_lag","dap_lag","seg_area","cum_ratio"
"Control (+Lime)",111,0.442105710910012,0.329975249913211,101,3.86040480411611,21.3237243111192
"Control (+Lime)",121,0.458590282437702,0.442105710910012,111,4.50347996673857,25.8272042778578
"Control (+Lime)",126,0.207375394211461,0.458590282437702,121,1.66491419162291,27.4921184694807
"Control (+Lime)",136,0.503907144783686,0.207375394211461,126,3.55641269497573,31.0485311644564
"Control (+Lime)",141,0.405427155426393,0.503907144783686,136,2.2733357505252,33.3218669149816
"Control (+Lime)",143,0.163589725084603,0.405427155426393,141,0.569016880510996,33.8908837954926
"Control (+Lime)",146,0.388471672063073,0.163589725084603,143,0.828092095721513,34.7189758912141
"Control (+Lime)",151,0.481771886441857,0.388471672063073,146,2.17560889626232,36.8945847874764
"Control (+Lime)",156,0.46254251456509,0.481771886441857,151,2.36078600251737,39.2553707899938
"Horsch",3,0.0565173229005951,0.0565173229005951,0,0.169551968701785,0.169551968701785
"Horsch",6,0.0726383662479881,0.0565173229005951,3,0.193733533722875,0.36328550242466
"Horsch",11,0.0727647018636235,0.0726383662479881,6,0.363507670279029,0.726793172703689
"Horsch",16,0.0644228212383174,0.0727647018636235,11,0.342968807754852,1.06976198045854
"Horsch",21,0.0799804343909457,0.0644228212383174,16,0.361008139073158,1.4307701195317
"Horsch",23,0.0954158823189035,0.0799804343909457,21,0.175396316709849,1.60616643624155
"Horsch",26,0.0952667721988745,0.0954158823189035,23,0.286023981776667,1.89219041801822
"Horsch",31,0.0845921607398839,0.0952667721988745,26,0.449647332346896,2.34183775036511
"Horsch",41,0.087613189550537,0.0845921607398839,31,0.861026751452104,3.20286450181722
"Horsch",51,0.138305739678952,0.087613189550537,41,1.12959464614744,4.33245914796466
"Horsch",56,0.150125222716396,0.138305739678952,51,0.721077405988368,5.05353655395303
"Horsch",61,0.173369575530969,0.150125222716396,56,0.808736995618412,5.86227354957144
"Horsch",63,0.153842562057587,0.173369575530969,61,0.327212137588556,6.18948568716
"Horsch",66,0.1955376994906,0.153842562057587,63,0.524070392322281,6.71355607948228
"Horsch",71,0.204378925279307,0.1955376994906,66,0.999791561924769,7.71334764140705
"Horsch",76,0.255382580154307,0.204378925279307,71,1.14940376358404,8.86275140499108
"Horsch",81,0.301047909750331,0.255382580154307,76,1.3910762247616,10.2538276297527
"Horsch",83,0.304078375577433,0.301047909750331,81,0.605126285327764,10.8589539150804
"Horsch",91,0.350806574844302,0.304078375577433,83,2.61953980168694,13.4784937167674
"Horsch",96,0.39157520678843,0.350806574844302,91,1.85595445408183,15.3344481708492
"Horsch",101,0.358373523174976,0.39157520678843,96,1.87487182490852,17.2093199957577
"Horsch",111,0.494628258095765,0.358373523174976,101,4.2650089063537,21.4743289021114
"Horsch",121,0.497444792810681,0.494628258095765,111,4.96036525453223,26.4346941566437
"Horsch",126,0.223004182087215,0.497444792810681,121,1.80112243724474,28.2358165938884
"Horsch",136,0.547395087176969,0.223004182087215,126,3.85199634632092,32.0878129402093
"Horsch",141,0.422585712178894,0.547395087176969,136,2.42495199838966,34.512764938599
"Horsch",143,0.165946440080925,0.422585712178894,141,0.588532152259819,35.1012970908588
"Horsch",146,0.395934352840202,0.165946440080925,143,0.842821189381691,35.9441182802405
"Horsch",151,0.50632594232727,0.395934352840202,146,2.25565073791868,38.1997690181592
"Horsch",156,0.485174110957554,0.50632594232727,151,2.47875013321206,40.6785191513712
"Rip",3,0.056416883278871,0.056416883278871,0,0.169250649836613,0.169250649836613
"Rip",6,0.072603682387853,0.056416883278871,3,0.193530848500086,0.362781498336699
"Rip",11,0.0741940700216219,0.072603682387853,6,0.366994381023687,0.729775879360386
"Rip",16,0.0634932007696307,0.0741940700216219,11,0.344218176978131,1.07399405633852
"Rip",21,0.0808169099909719,0.0634932007696307,16,0.360775276901506,1.43476933324002
"Rip",23,0.0969306291779503,0.0808169099909719,21,0.177747539168922,1.61251687240895
"Rip",26,0.0952242798652151,0.0969306291779503,23,0.288232363564748,1.90074923597369
"Rip",31,0.0890754425781779,0.0952242798652151,26,0.460749306108482,2.36149854208218
"Rip",41,0.0896614282450173,0.0890754425781779,31,0.893684354115976,3.25518289619815
"Rip",51,0.145412081503309,0.0896614282450173,41,1.17536754874163,4.43055044493979
"Rip",56,0.153867867938243,0.145412081503309,51,0.74819987360388,5.17875031854367
"Rip",61,0.174401748320088,0.153867867938243,56,0.820674040645827,5.99942435918949
"Rip",63,0.144105080841109,0.174401748320088,61,0.318506829161197,6.31793118835069
"Rip",66,0.193653980677482,0.144105080841109,63,0.506638592277886,6.82456978062858
"Rip",71,0.19786669126479,0.193653980677482,66,0.978801679855678,7.80337146048425
"Rip",76,0.241669745976105,0.19786669126479,71,1.09884109310224,8.90221255358649
"Rip",81,0.278611249593087,0.241669745976105,76,1.30070248892298,10.2029150425095
"Rip",83,0.279371816734783,0.278611249593087,81,0.55798306632787,10.7608981088373
"Rip",91,0.317204997129738,0.279371816734783,83,2.38630725545809,13.1472053642954
"Rip",96,0.351186972344294,0.317204997129738,91,1.67097992368508,14.8181852879805
"Rip",101,0.31686988385627,0.351186972344294,96,1.67014214050141,16.4883274284819
"Rip",111,0.433377790893428,0.31686988385627,101,3.75123837374849,20.2395658022304
"Rip",121,0.455289804330096,0.433377790893428,111,4.44333797611762,24.682903778348
"Rip",126,0.204302484588698,0.455289804330096,121,1.64898072229698,26.331884500645
"Rip",136,0.506928295758553,0.204302484588698,126,3.55615390173625,29.8880384023813
"Rip",141,0.408275866419717,0.506928295758553,136,2.28801040544568,32.1760488078269
"Rip",143,0.161016590404324,0.408275866419717,141,0.569292456824041,32.745341264651
"Rip",146,0.394953426951543,0.161016590404324,143,0.8339550260338,33.5792962906848
"Rip",151,0.483385610161349,0.394953426951543,146,2.19584759278223,35.775143883467
"Rip",156,0.466869619861245,0.483385610161349,151,2.37563807505649,38.1507819585235
"Rip (+Lime)",3,0.0568530774132038,0.0568530774132038,0,0.170559232239611,0.170559232239611
"Rip (+Lime)",6,0.0719359912521516,0.0568530774132038,3,0.193183602998033,0.363742835237645
"Rip (+Lime)",11,0.0728160422838603,0.0719359912521516,6,0.36188008384003,0.725622919077675
"Rip (+Lime)",16,0.065642715808887,0.0728160422838603,11,0.346146895231868,1.07176981430954
"Rip (+Lime)",21,0.0800287953733156,0.065642715808887,16,0.364178777955506,1.43594859226505
"Rip (+Lime)",23,0.0963588149907688,0.0800287953733156,21,0.176387610364084,1.61233620262913
"Rip (+Lime)",26,0.0924960991173672,0.0963588149907688,23,0.283282371162204,1.89561857379134
