"dap","treat_desc","ratio"
-14,"Rip + Mix (+Lime) + FUTURE",0.0591654905350879
-9,"Rip + Mix (+Lime) + FUTURE",0.0821185781154782
-4,"Rip + Mix (+Lime) + FUTURE",0.0116799360862842
3,"Rip + Mix (+Lime) + FUTURE",0.0571074019186199
6,"Rip + Mix (+Lime) + FUTURE",0.0749250355331848
11,"Rip + Mix (+Lime) + FUTURE",0.0739187448751181
16,"Rip + Mix (+Lime) + FUTURE",0.0604857879447081
21,"Rip + Mix (+Lime) + FUTURE",0.0805769744329154
23,"Rip + Mix (+Lime) + FUTURE",0.0947428117583816
26,"Rip + Mix (+Lime) + FUTURE",0.0933738300111145
31,"Rip + Mix (+Lime) + FUTURE",0.0835503900578866
41,"Rip + Mix (+Lime) + FUTURE",0.0797207498146842
51,"Rip + Mix (+Lime) + FUTURE",0.131541924597695
56,"Rip + Mix (+Lime) + FUTURE",0.140288159359867
61,"Rip + Mix (+Lime) + FUTURE",0.158073968083287
63,"Rip + Mix (+Lime) + FUTURE",0.152630138987054
66,"Rip + Mix (+Lime) + FUTURE",0.178003869050493
71,"Rip + Mix (+Lime) + FUTURE",0.184426720331733
76,"Rip + Mix (+Lime) + FUTURE",0.230628057041516
81,"Rip + Mix (+Lime) + FUTURE",0.268711079874386
83,"Rip + Mix (+Lime) + FUTURE",0.272671201033518
91,"Rip + Mix (+Lime) + FUTURE",0.312445586717998
96,"Rip + Mix (+Lime) + FUTURE",0.354627692420036
101,"Rip + Mix (+Lime) + FUTURE",0.329646679308886
111,"Rip + Mix (+Lime) + FUTURE",0.459813213410477
121,"Rip + Mix (+Lime) + FUTURE",0.438813605935623
126,"Rip + Mix (+Lime) + FUTURE",0.225420789700001
136,"Rip + Mix (+Lime) + FUTURE",0.546016686347624
141,"Rip + Mix (+Lime) + FUTURE",0.347259907921155
143,"Rip + Mix (+Lime) + FUTURE",0.173255118199935
146,"Rip + Mix (+Lime) + FUTURE",0.39077668186898
151,"Rip + Mix (+Lime) + FUTURE",0.517750513398399
156,"Rip + Mix (+Lime) + FUTURE",0.501092811798056
-19,"Rip + Mix + FUTURE",0.0618724582600407
-17,"Rip + Mix + FUTURE",0.0594078011461534
-14,"Rip + Mix + FUTURE",0.0666982514609117
-9,"Rip + Mix + FUTURE",0.0808966076816432
-4,"Rip + Mix + FUTURE",0.0114480865217729
3,"Rip + Mix + FUTURE",0.057070404139813
6,"Rip + Mix + FUTURE",0.0745493479247671
11,"Rip + Mix + FUTURE",0.0739143421524204
16,"Rip + Mix + FUTURE",0.0621996512147859
21,"Rip + Mix + FUTURE",0.080536432552617
23,"Rip + Mix + FUTURE",0.0957914500962943
26,"Rip + Mix + FUTURE",0.093224628304597
31,"Rip + Mix + FUTURE",0.0822807555145118
41,"Rip + Mix + FUTURE",0.0799871195282321
51,"Rip + Mix + FUTURE",0.131502951565199
56,"Rip + Mix + FUTURE",0.1412279156968
61,"Rip + Mix + FUTURE",0.158861177181825
63,"Rip + Mix + FUTURE",0.151734089700039
66,"Rip + Mix + FUTURE",0.178835177561268
71,"Rip + Mix + FUTURE",0.186156906629913
76,"Rip + Mix + FUTURE",0.232681410340592
81,"Rip + Mix + FUTURE",0.273028459050693
83,"Rip + Mix + FUTURE",0.275642483960837
91,"Rip + Mix + FUTURE",0.317267335229553
96,"Rip + Mix + FUTURE",0.359519476350397
101,"Rip + Mix + FUTURE",0.337030540546402
111,"Rip + Mix + FUTURE",0.469036613509525
121,"Rip + Mix + FUTURE",0.451913936180063
126,"Rip + Mix + FUTURE",0.231624621571973
136,"Rip + Mix + FUTURE",0.552068145736121
141,"Rip + Mix + FUTURE",0.348472688207403
143,"Rip + Mix + FUTURE",0.169127488019876
146,"Rip + Mix + FUTURE",0.397231810586527
151,"Rip + Mix + FUTURE",0.519696611445397
156,"Rip + Mix + FUTURE",0.501947149797343
-19,"Rip+Mix",0.063420059143876
-17,"Rip+Mix",0.0614333180322622
-14,"Rip+Mix",0.077158080553636
-9,"Rip+Mix",0.078538437684377
-4,"Rip+Mix",0.0116753537169264
3,"Rip+Mix",0.0580428000617151
6,"Rip+Mix",0.0739315631178518
11,"Rip+Mix",0.0740546212764457
16,"Rip+Mix",0.0637786489085768
21,"Rip+Mix",0.079933422865967
23,"Rip+Mix",0.0960665945895016
26,"Rip+Mix",0.0936765912299355
31,"Rip+Mix",0.0812935897692417
41,"Rip+Mix",0.0812278726681446
51,"Rip+Mix",0.126123077205072
56,"Rip+Mix",0.13668474702475
61,"Rip+Mix",0.152388487554466
63,"Rip+Mix",0.147405842334653
66,"Rip+Mix",0.172698342381045
71,"Rip+Mix",0.181786615572249
76,"Rip+Mix",0.22934984623765
81,"Rip+Mix",0.2705341502248
83,"Rip+Mix",0.27587167082044
91,"Rip+Mix",0.31891867974773
96,"Rip+Mix",0.364100888790563
101,"Rip+Mix",0.339800219098106
111,"Rip+Mix",0.476532622426748
121,"Rip+Mix",0.467043206623445
126,"Rip+Mix",0.231723555674156
136,"Rip+Mix",0.553783787383388
141,"Rip+Mix",0.371422898676246
143,"Rip+Mix",0.166780485026538
146,"Rip+Mix",0.398158048093319
151,"Rip+Mix",0.518007255066186
156,"Rip+Mix",0.500110039052864
-19,"Rip+Mix (+Lime)",0.0615310062321597
-17,"Rip+Mix (+Lime)",0.0609871346369827
-14,"Rip+Mix (+Lime)",0.0759130935191922
-9,"Rip+Mix (+Lime)",0.0775870972788092
-4,"Rip+Mix (+Lime)",0.0136687117713218
